,song_id,artist_id,artist_name,song_name,audio_features
21,7yobFS2wibnb5rteh6Z8Zx,2FXC3k01G6Gw61bmprjgqS,Hozier,Shrike - Live at Windmill Lane Studios,"{'danceability': 0.294, 'energy': 0.369, 'key': 0, 'loudness': -9.888, 'mode': 1, 'speechiness': 0.0279, 'acousticness': 0.359, 'instrumentalness': 0.0698, 'liveness': 0.324, 'valence': 0.0852, 'tempo': 149.023, 'type': 'audio_features', 'id': '7yobFS2wibnb5rteh6Z8Zx', 'uri': 'spotify:track:7yobFS2wibnb5rteh6Z8Zx', 'track_href': 'https://api.spotify.com/v1/tracks/7yobFS2wibnb5rteh6Z8Zx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7yobFS2wibnb5rteh6Z8Zx', 'duration_ms': 312480, 'time_signature': 3}"
22,6q5PWlVAnTNvVmeW9aXGq5,2FXC3k01G6Gw61bmprjgqS,Hozier,Nina Cried Power (feat. Mavis Staples),"{'danceability': 0.29, 'energy': 0.889, 'key': 1, 'loudness': -2.611, 'mode': 1, 'speechiness': 0.159, 'acousticness': 0.00949, 'instrumentalness': 0, 'liveness': 0.0821, 'valence': 0.651, 'tempo': 98.835, 'type': 'audio_features', 'id': '6q5PWlVAnTNvVmeW9aXGq5', 'uri': 'spotify:track:6q5PWlVAnTNvVmeW9aXGq5', 'track_href': 'https://api.spotify.com/v1/tracks/6q5PWlVAnTNvVmeW9aXGq5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6q5PWlVAnTNvVmeW9aXGq5', 'duration_ms': 225213, 'time_signature': 4}"
23,7wR5r0KYGXBpyWXCdyYs3F,2FXC3k01G6Gw61bmprjgqS,Hozier,Nina Cried Power (feat. Mavis Staples),"{'danceability': 0.29, 'energy': 0.889, 'key': 1, 'loudness': -2.611, 'mode': 1, 'speechiness': 0.159, 'acousticness': 0.00949, 'instrumentalness': 0, 'liveness': 0.0821, 'valence': 0.651, 'tempo': 98.835, 'type': 'audio_features', 'id': '7wR5r0KYGXBpyWXCdyYs3F', 'uri': 'spotify:track:7wR5r0KYGXBpyWXCdyYs3F', 'track_href': 'https://api.spotify.com/v1/tracks/7wR5r0KYGXBpyWXCdyYs3F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7wR5r0KYGXBpyWXCdyYs3F', 'duration_ms': 225213, 'time_signature': 4}"
24,6LOGgSwHUaBp9MESQxbVBJ,2FXC3k01G6Gw61bmprjgqS,Hozier,Better Love - From The Legend of Tarzan - Single version,"{'danceability': 0.389, 'energy': 0.802, 'key': 0, 'loudness': -3.438, 'mode': 1, 'speechiness': 0.0616, 'acousticness': 0.0307, 'instrumentalness': 2.63e-06, 'liveness': 0.0862, 'valence': 0.4, 'tempo': 126.748, 'type': 'audio_features', 'id': '6LOGgSwHUaBp9MESQxbVBJ', 'uri': 'spotify:track:6LOGgSwHUaBp9MESQxbVBJ', 'track_href': 'https://api.spotify.com/v1/tracks/6LOGgSwHUaBp9MESQxbVBJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6LOGgSwHUaBp9MESQxbVBJ', 'duration_ms': 194067, 'time_signature': 4}"
25,1xSNfIhSXHEJIwqDXHAxQ7,2FXC3k01G6Gw61bmprjgqS,Hozier,"Better Love - From ""The Legend Of Tarzan"" Original Motion Picture Soundtrack / Single Version","{'danceability': 0.382, 'energy': 0.819, 'key': 0, 'loudness': -3.411, 'mode': 1, 'speechiness': 0.0559, 'acousticness': 0.0252, 'instrumentalness': 4.24e-06, 'liveness': 0.0658, 'valence': 0.419, 'tempo': 126.424, 'type': 'audio_features', 'id': '1xSNfIhSXHEJIwqDXHAxQ7', 'uri': 'spotify:track:1xSNfIhSXHEJIwqDXHAxQ7', 'track_href': 'https://api.spotify.com/v1/tracks/1xSNfIhSXHEJIwqDXHAxQ7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xSNfIhSXHEJIwqDXHAxQ7', 'duration_ms': 193227, 'time_signature': 4}"
26,5y26En149XOLh4b0dxcEVi,2FXC3k01G6Gw61bmprjgqS,Hozier,From Eden - Live At Sofar Sounds,"{'danceability': 0.652, 'energy': 0.209, 'key': 0, 'loudness': -6.506, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.818, 'instrumentalness': 0, 'liveness': 0.695, 'valence': 0.557, 'tempo': 148.763, 'type': 'audio_features', 'id': '5y26En149XOLh4b0dxcEVi', 'uri': 'spotify:track:5y26En149XOLh4b0dxcEVi', 'track_href': 'https://api.spotify.com/v1/tracks/5y26En149XOLh4b0dxcEVi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5y26En149XOLh4b0dxcEVi', 'duration_ms': 240268, 'time_signature': 5}"
27,4PCuEvpXSGeNGuBMnBcxuq,2FXC3k01G6Gw61bmprjgqS,Hozier,Like Real People Do - Live in America - Spring/Summer 2015,"{'danceability': 0.35, 'energy': 0.248, 'key': 7, 'loudness': -11.109, 'mode': 1, 'speechiness': 0.0317, 'acousticness': 0.899, 'instrumentalness': 0.00013, 'liveness': 0.973, 'valence': 0.069, 'tempo': 143.239, 'type': 'audio_features', 'id': '4PCuEvpXSGeNGuBMnBcxuq', 'uri': 'spotify:track:4PCuEvpXSGeNGuBMnBcxuq', 'track_href': 'https://api.spotify.com/v1/tracks/4PCuEvpXSGeNGuBMnBcxuq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4PCuEvpXSGeNGuBMnBcxuq', 'duration_ms': 236867, 'time_signature': 3}"
28,6d0wEqM0jJTNv1asKflGGi,2FXC3k01G6Gw61bmprjgqS,Hozier,Take Me to Church - Live From Spotify London,"{'danceability': 0.624, 'energy': 0.217, 'key': 2, 'loudness': -9.54, 'mode': 0, 'speechiness': 0.0481, 'acousticness': 0.859, 'instrumentalness': 0, 'liveness': 0.7, 'valence': 0.287, 'tempo': 124.958, 'type': 'audio_features', 'id': '6d0wEqM0jJTNv1asKflGGi', 'uri': 'spotify:track:6d0wEqM0jJTNv1asKflGGi', 'track_href': 'https://api.spotify.com/v1/tracks/6d0wEqM0jJTNv1asKflGGi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6d0wEqM0jJTNv1asKflGGi', 'duration_ms': 246493, 'time_signature': 3}"
29,2CHF7TgYadX1uDSexAZSMF,2FXC3k01G6Gw61bmprjgqS,Hozier,Angel of Small Death and the Codeine Scene - EP Version,"{'danceability': 0.311, 'energy': 0.656, 'key': 4, 'loudness': -6.752, 'mode': 1, 'speechiness': 0.0952, 'acousticness': 0.163, 'instrumentalness': 7.05e-06, 'liveness': 0.126, 'valence': 0.297, 'tempo': 188.171, 'type': 'audio_features', 'id': '2CHF7TgYadX1uDSexAZSMF', 'uri': 'spotify:track:2CHF7TgYadX1uDSexAZSMF', 'track_href': 'https://api.spotify.com/v1/tracks/2CHF7TgYadX1uDSexAZSMF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2CHF7TgYadX1uDSexAZSMF', 'duration_ms': 218987, 'time_signature': 4}"
30,7pV6U25PAmCy4WgxIizkDW,2FXC3k01G6Gw61bmprjgqS,Hozier,Like Real People Do - EP Version,"{'danceability': 0.584, 'energy': 0.168, 'key': 7, 'loudness': -13.406, 'mode': 1, 'speechiness': 0.0283, 'acousticness': 0.889, 'instrumentalness': 2.79e-05, 'liveness': 0.121, 'valence': 0.157, 'tempo': 140.052, 'type': 'audio_features', 'id': '7pV6U25PAmCy4WgxIizkDW', 'uri': 'spotify:track:7pV6U25PAmCy4WgxIizkDW', 'track_href': 'https://api.spotify.com/v1/tracks/7pV6U25PAmCy4WgxIizkDW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7pV6U25PAmCy4WgxIizkDW', 'duration_ms': 197800, 'time_signature': 3}"
